cycle_id	pmid	edge_idx	source_token	target_token	source	target	sign	source_class	target_class	visibility	structural_reason	confirmatory_eligible	compartment	status	review_flag
35173544#0	35173544	1	TCF7L2/TCF4 promoter-complex activity	FLOT2	TCF7L2	FLOT2	1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35173544#0	35173544	2	FLOT2	MYC	FLOT2	MYC	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35173544#0	35173544	3	MYC	TBL1X	MYC	TBL1X	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35227262#0	35227262	0	circCAMSAP1	SERPINH1		SERPINH1	1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35227262#0	35227262	1	SERPINH1	MYC activity	SERPINH1	MYC	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35227262#0	35227262	2	MYC activity	circCAMSAP1	MYC		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35373703#0	35373703	0	LINC01605	miR-942-5p activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35373703#0	35373703	1	miR-942-5p activity	IKBKB/IKK-beta activity			-1	noncoding_rna	complex_or_pathway	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35373703#0	35373703	2	IKBKB/IKK-beta activity	RELA/p65 activity		RELA	1	complex_or_pathway	single_symbol_unverified	T_uncertain	complex_or_pathway	False	Cell-intrinsic	FT1-retained	True
35373703#0	35373703	3	RELA/p65 activity	LINC01605	RELA		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35373703#1	35373703	0	LINC01605	IGF2BP2 recruitment		IGF2BP2	1	noncoding_rna	single_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35373703#1	35373703	1	IGF2BP2 recruitment	USP3 mRNA stability	IGF2BP2	USP3	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
35373703#1	35373703	2	USP3 mRNA stability	IKBKB protein stability/activity	USP3	IKBKB	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35373703#1	35373703	3	IKBKB protein stability/activity	RELA/p65 activity	IKBKB	RELA	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35373703#1	35373703	4	RELA/p65 activity	LINC01605	RELA		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36199071#0	36199071	0	circPVT1	BTRC E3 activity toward MYC		BTRC	-1	noncoding_rna	multi_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36199071#0	36199071	1	BTRC E3 activity toward MYC	MYC protein stability	BTRC	MYC	-1	multi_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36199071#0	36199071	2	MYC protein stability	circPVT1	MYC		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36199071#1	36199071	0	circPVT1	BTRC E3 activity toward MYC		BTRC	-1	noncoding_rna	multi_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36199071#1	36199071	1	BTRC E3 activity toward MYC	MYC	BTRC	MYC	-1	multi_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36199071#1	36199071	2	MYC	SRSF1	MYC	SRSF1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36199071#1	36199071	3	SRSF1	circPVT1	SRSF1		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#0	37774794	0	MYC	METTL3	MYC	METTL3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37774794#0	37774794	1	METTL3	LINC01006	METTL3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#0	37774794	2	LINC01006	miR-34a activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#0	37774794	3	miR-34a activity	MYC		MYC	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#1	37774794	0	MYC	METTL3	MYC	METTL3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37774794#1	37774794	1	METTL3	LINC01006	METTL3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#1	37774794	2	LINC01006	miR-34b activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#1	37774794	3	miR-34b activity	MYC		MYC	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#2	37774794	0	MYC	METTL3	MYC	METTL3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37774794#2	37774794	1	METTL3	LINC01006	METTL3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#2	37774794	2	LINC01006	miR-34c activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#2	37774794	3	miR-34c activity	MYC		MYC	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#3	37774794	0	MYC	METTL3	MYC	METTL3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37774794#3	37774794	1	METTL3	LINC01006	METTL3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#3	37774794	2	LINC01006	miR-2682 activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37774794#3	37774794	3	miR-2682 activity	MYC		MYC	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37008055#0	37008055	0	HIF1A promoter activity	circ_0000566 biogenesis/abundance	HIF1A		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
37008055#0	37008055	1	circ_0000566 biogenesis/abundance	HIF1A protein stability/activity		HIF1A	1	noncoding_rna	single_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
41029721#0	41029721	0	tumor-cell-secreted SAA1	MDSC TLR2/TLR4 activity			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
41029721#0	41029721	1	MDSC TLR2/TLR4 activity	MDSC IL1B secretion			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
41029721#0	41029721	2	MDSC IL1B secretion	tumor-cell IL1R/NF-kappaB activity			1	cell_type_prefixed	cell_type_prefixed	T_uncertain	intercellular	False	Intercellular/TME	FT1-retained	True
41029721#0	41029721	3	tumor-cell IL1R/NF-kappaB activity	tumor-cell SAA1 transcription/secretion			1	cell_type_prefixed	cell_type_prefixed	T_visible	intercellular	False	Intercellular/TME	FT1-retained	True
35342355#0	35342355	0	CASC15	miR-23b-3p activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35342355#0	35342355	1	miR-23b-3p activity	SMAD3		SMAD3	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35342355#0	35342355	2	SMAD3	CASC15	SMAD3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35342355#1	35342355	0	CASC15	miR-24-3p activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35342355#1	35342355	1	miR-24-3p activity	HNF1B		HNF1B	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35342355#1	35342355	2	HNF1B	SMAD3	HNF1B	SMAD3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35342355#1	35342355	3	SMAD3	CASC15	SMAD3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
41963301#0	41963301	0	FOXM1 transcriptional activity	SMAD4 transcription	FOXM1	SMAD4	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41963301#0	41963301	1	SMAD4 transcription	SMAD4 transcriptional activity	SMAD4	SMAD4	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41963301#0	41963301	2	SMAD4 transcriptional activity	FOXM1 transcription	SMAD4	FOXM1	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41963301#1	41963301	0	FOXM1 protein interaction	SMAD4 protein stability	FOXM1	SMAD4	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
41963301#1	41963301	1	SMAD4 protein stability	SMAD4 transcriptional activity	SMAD4	SMAD4	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
41963301#1	41963301	2	SMAD4 transcriptional activity	FOXM1 transcription	SMAD4	FOXM1	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
37149664#0	37149664	0	ALKBH5 activity	HDAC4 mRNA/protein stability	ALKBH5	HDAC4	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37149664#0	37149664	1	HDAC4 mRNA/protein stability	HIF1A protein stability/activity	HDAC4	HIF1A	1	single_symbol_unverified	single_symbol_unverified	T_invisible	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
37149664#0	37149664	2	HIF1A protein stability/activity	ALKBH5	HIF1A	ALKBH5	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35534983#0	35534983	0	TPT1-AS1	miR-30a-5p activity			-1	noncoding_rna	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35534983#0	35534983	1	miR-30a-5p activity	ITGB3		ITGB3	-1	noncoding_rna	single_symbol_unverified	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35534983#0	35534983	2	ITGB3	STAT3 activity	ITGB3	STAT3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35534983#0	35534983	3	STAT3 activity	TPT1-AS1	STAT3		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#0	34245303	0	PVT1	HIF1A transcription		HIF1A	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#0	34245303	1	HIF1A transcription	PVT1 transcription	HIF1A		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#1	34245303	0	PVT1	HIF1A transcription		HIF1A	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#1	34245303	1	HIF1A transcription	PVT1 RNA stability	HIF1A		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#2	34245303	0	PVT1	HIF1A protein stability		HIF1A	1	noncoding_rna	single_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#2	34245303	1	HIF1A protein stability	PVT1 transcription	HIF1A		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#3	34245303	0	PVT1	HIF1A protein stability		HIF1A	1	noncoding_rna	single_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
34245303#3	34245303	1	HIF1A protein stability	PVT1 RNA stability	HIF1A		1	single_symbol_unverified	noncoding_rna	T_uncertain	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
33648560#0	33648560	0	HMGA1	TRIP13	HMGA1	TRIP13	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#0	33648560	1	TRIP13	FBXW7	TRIP13	FBXW7	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#0	33648560	2	FBXW7	MYC	FBXW7	MYC	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#0	33648560	3	MYC	HMGA1	MYC	HMGA1	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#1	33648560	0	TRIP13	FBXW7	TRIP13	FBXW7	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#1	33648560	1	FBXW7	MYC	FBXW7	MYC	-1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
33648560#1	33648560	2	MYC	TRIP13	MYC	TRIP13	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
35711895#0	35711895	0	LUCAT1	ELAVL1 recruitment/RNA-binding activity		ELAVL1	1	noncoding_rna	multi_symbol_unverified	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
35711895#0	35711895	1	ELAVL1 recruitment/RNA-binding activity	LIN28B mRNA stability	ELAVL1	LIN28B	1	multi_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
35711895#0	35711895	2	LIN28B mRNA stability	SOX2 mRNA stability/activity	LIN28B	SOX2	1	single_symbol_unverified	single_symbol_unverified	T_visible	structurally_eligible	True	Cell-intrinsic	FT1-retained	True
35711895#0	35711895	3	SOX2 mRNA stability/activity	LUCAT1 transcription	SOX2		1	single_symbol_unverified	noncoding_rna	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36566349#0	36566349	0	m6A-RN7SK secondary-structure activity	IGF2BP3 mRNA stability/abundance		IGF2BP3	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36566349#0	36566349	1	IGF2BP3 mRNA stability/abundance	IGF2BP3 m6A-reader activity	IGF2BP3	IGF2BP3	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36566349#0	36566349	2	IGF2BP3 m6A-reader activity	RN7SK secondary-structure activity	IGF2BP3		1	single_symbol_unverified	noncoding_rna	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36566349#1	36566349	0	m6A-RN7SK secondary-structure activity	YTHDC2 mRNA stability/abundance		YTHDC2	1	noncoding_rna	single_symbol_unverified	T_visible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
36566349#1	36566349	1	YTHDC2 mRNA stability/abundance	YTHDC2 m6A-reader activity	YTHDC2	YTHDC2	1	single_symbol_unverified	single_symbol_unverified	T_uncertain	structurally_eligible	False	Cell-intrinsic	FT1-retained	True
36566349#1	36566349	2	YTHDC2 m6A-reader activity	RN7SK secondary-structure activity	YTHDC2		1	single_symbol_unverified	noncoding_rna	T_invisible	noncoding_rna	False	Cell-intrinsic	FT1-retained	True
